2026-08-28 21:51:15,669 | INFO | src.pipeline | Building the HR Assistant
2026-08-28 21:51:15,670 | INFO | src.pipeline | Vector store already exists on disk, loading it
2026-08-28 21:51:15,671 | INFO | src.vector_store | Loading FAISS index from 'data\faiss_index'
2026-08-28 21:51:15,671 | INFO | src.embeddings | Initializing the embeddings model 'jina-embeddings-v2-base-en'
2026-08-28 21:51:15,672 | INFO | src.embeddings | Loaded embeddings model
2026-08-28 21:51:15,675 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-08-28 21:51:15,676 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-08-28 21:51:15,678 | INFO | faiss.loader | Loading faiss.
2026-08-28 21:51:15,707 | INFO | faiss.loader | Successfully loaded faiss.
2026-08-28 21:51:15,718 | INFO | src.vector_store | Creating a retriever with top_k=3
2026-08-28 21:51:15,723 | INFO | src.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-08-28 21:51:15,994 | INFO | src.agent | Creating HR agent with 1 tool(s)
2026-08-28 21:51:16,004 | INFO | src.agent | HR agent is ready
2026-08-28 21:51:16,006 | INFO | src.pipeline | HR assistant is ready to take questions
